year,month,predicted_pm25,actual_pm25,absolute_error,accuracy_pct
2022,1,70.63807640075684,86.76883697509766,16.130760574340812,81.40950007319992
2022,2,68.36007705688476,63.418087005615234,4.941990051269528,92.20728614719654
2022,3,65.31981384277344,59.78517532348633,5.534638519287114,90.74245665528247
2022,4,62.03782653808593,49.45832443237305,12.579502105712884,74.56545030571448
2022,5,59.68418842315674,41.11384201049805,18.570346412658694,54.8318874993076
2022,6,58.50626182556153,22.609451293945312,35.89681053161622,0.0
2022,7,56.264966316223145,28.03969955444336,28.225266761779785,0.0
2022,8,53.978331298828124,30.875978469848633,23.10235282897949,25.17693697856518
2022,9,54.69364128112793,35.60582733154297,19.087813949584962,46.39132024134939
2022,10,59.94671905517578,37.37648391723633,22.57023513793945,39.613808543582444
2022,11,61.45191993713379,81.10031127929688,19.648391342163087,75.77273005217319
2022,12,63.19845695495605,86.95494842529297,23.75649147033692,72.67954049705725
2023,1,80.54735279083252,91.00163269042969,10.454279899597168,88.51198644406672
2023,2,76.16866477966309,63.874961853027344,12.293702926635746,80.75348685933801
2023,3,73.35701747894286,50.637969970703125,22.71904750823974,55.134363558839404
2023,4,70.91572387695312,40.469581604003906,30.446142272949217,24.76783533156916
2023,5,68.22089176177978,32.905025482177734,35.31586627960205,0.0
2023,6,66.81190032958983,28.995553970336914,37.81634635925292,0.0
2023,7,65.48467124938965,28.3199520111084,37.16471923828125,0.0
2023,8,63.44847290039063,30.954607009887695,32.49386589050293,0.0
2023,9,63.93404674530029,33.6319580078125,30.302088737487793,9.900908146802507
2023,10,66.89327888488769,67.4708480834961,0.5775691986084013,99.14397222650344
2023,11,68.88290309906006,74.52435302734375,5.641449928283691,92.43005849884563
2023,12,70.46949825286866,80.98188781738281,10.512389564514152,87.01883859731699
