year,month,predicted_pm25,actual_pm25,absolute_error,accuracy_pct
2022,1,62.1039134979248,86.76883697509766,24.664923477172856,71.57398400505056
2022,2,51.40101222991943,63.418087005615234,12.017074775695804,81.05102922036772
2022,3,41.48699150085449,59.78517532348633,18.29818382263184,69.39344290014404
2022,4,31.628566932678222,49.45832443237305,17.829757499694825,63.949936225448994
2022,5,27.704055309295654,41.11384201049805,13.409786701202393,67.38376652374563
2022,6,26.682749938964847,22.609451293945312,4.073298645019534,81.98408890130676
2022,7,27.12261838912964,28.03969955444336,0.9170811653137179,96.72934738999943
2022,8,28.889065933227542,30.875978469848633,1.986912536621091,93.56485968999695
2022,9,47.78806381225586,35.60582733154297,12.182236480712888,65.78583509019961
2022,10,62.790785980224605,37.37648391723633,25.414302062988277,32.0045670447124
2022,11,66.90267639160157,81.10031127929688,14.197634887695301,82.49373564202381
2022,12,66.64399414062501,86.95494842529297,20.310954284667957,76.64197995342607
2023,1,68.89159030914307,91.00163269042969,22.11004238128662,75.70368604649019
2023,2,56.90676574707031,63.874961853027344,6.968196105957034,89.09088020750532
2023,3,46.47782764434814,50.637969970703125,4.160142326354986,91.78453968679656
2023,4,35.81693840026855,40.469581604003906,4.652643203735359,88.50335728878639
2023,5,32.05964860916138,32.905025482177734,0.845376873016356,97.43085786858231
2023,6,28.92645673751831,28.995553970336914,0.0690972328186028,99.76169714539928
2023,7,29.50938816070557,28.3199520111084,1.1894361495971708,95.80000647906954
2023,8,33.63096542358398,30.954607009887695,2.676358413696285,91.35392540166514
2023,9,50.53929405212402,33.6319580078125,16.90733604431152,49.7283624093963
2023,10,70.33680591583253,67.4708480834961,2.8659578323364343,95.75230204785662
2023,11,75.66039485931397,74.52435302734375,1.1360418319702177,98.47560993712567
2023,12,73.97624950408937,80.98188781738281,7.005638313293446,91.34912941386175
